date,year,month,day,weekofyear,weekday,is_weekend,is_holiday,temperature,rain_mm,store_id,country,city,channel,latitude,longitude,sku_id,sku_name,category,subcategory,brand,units_sold,list_price,discount_pct,promo_flag,gross_sales,net_sales,stock_on_hand,stock_out_flag,lead_time_days,supplier_id,purchase_cost,margin_pct
2023-04-13,2023,4,13,15,3,0,0,14.71,0.39,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0028,BrandD Chips,Snacks,Chips,BrandD,102,9.37,0.0,0,955.74,955.74,250,0,11,S034,4.46,0.483
2023-06-27,2023,6,27,26,1,0,0,14.56,1.71,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0035,BrandE Chocolate,Snacks,Chocolate,BrandE,13,2.04,0.0,0,26.52,26.52,330,0,9,S030,2.66,0.447
2023-01-18,2023,1,18,3,2,0,0,17.3,0.3,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0101,BrandE Toothpaste,Personal Care,Toothpaste,BrandE,27,9.99,0.0,0,269.73,269.73,202,0,10,S020,1.95,0.48
2021-08-10,2021,8,10,32,1,0,0,19.43,5.2,STORE0012,Spain,Madrid,E-commerce,40.41706,-3.67473,SKU0080,BrandB Cleaner,Home Care,Cleaner,BrandB,18,4.33,0.0,0,77.94,77.94,424,0,13,S037,4.32,0.353
2021-06-10,2021,6,10,23,3,0,0,18.23,2.05,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0090,BrandF Shampoo,Personal Care,Shampoo,BrandF,58,14.11,0.0,0,818.38,818.38,393,0,6,S046,3.27,0.449
2022-11-05,2022,11,5,44,5,1,0,15.29,3.01,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0027,BrandC Chips,Snacks,Chips,BrandC,78,14.15,0.0,0,1103.7,1103.7,298,0,9,S012,1.47,0.438
2022-09-30,2022,9,30,39,4,0,0,14.97,1.63,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0067,BrandA Detergent,Home Care,Detergent,BrandA,158,2.68,0.1,1,423.44,381.1,252,0,6,S038,7.01,0.503
2022-11-01,2022,11,1,44,1,0,0,10.91,1.05,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0002,BrandB Soda,Beverages,Soda,BrandB,52,11.25,0.0,0,585.0,585.0,321,0,8,S036,8.91,0.282
2022-12-17,2022,12,17,50,5,1,0,17.53,5.91,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0046,BrandD Nuts,Snacks,Nuts,BrandD,73,2.67,0.0,0,194.91,194.91,226,0,11,S049,5.46,0.497
2022-05-14,2022,5,14,19,5,1,0,12.19,3.49,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0094,BrandD Soap,Personal Care,Soap,BrandD,65,12.44,0.0,0,808.6,808.6,369,0,13,S021,2.67,0.363
2022-03-16,2022,3,16,11,2,0,0,13.99,3.7,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0038,BrandB Biscuits,Snacks,Biscuits,BrandB,34,10.9,0.0,0,370.6,370.6,224,0,8,S038,6.9,0.463
2021-06-23,2021,6,23,25,2,0,0,15.11,1.7,STORE0009,Spain,Barcelona,E-commerce,41.36731,2.15708,SKU0047,BrandE Nuts,Snacks,Nuts,BrandE,42,11.65,0.0,0,489.3,489.3,281,0,4,S005,1.54,0.431
2022-04-16,2022,4,16,15,5,1,0,17.99,6.52,STORE0011,Italy,Rome,Hypermarket,41.90833,12.51294,SKU0101,BrandE Toothpaste,Personal Care,Toothpaste,BrandE,37,9.99,0.0,0,369.63,369.63,300,0,14,S013,1.57,0.459
2021-10-10,2021,10,10,40,6,1,0,15.47,3.1,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0046,BrandD Nuts,Snacks,Nuts,BrandD,86,2.67,0.0,0,229.62,229.62,289,0,2,S024,4.94,0.32
2022-11-05,2022,11,5,44,5,1,0,11.51,2.88,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0039,BrandC Biscuits,Snacks,Biscuits,BrandC,58,11.8,0.0,0,684.4,684.4,291,0,1,S001,5.53,0.462
2022-01-27,2022,1,27,4,3,0,0,7.95,1.88,STORE0011,Italy,Rome,Hypermarket,41.90833,12.51294,SKU0008,BrandB Juice,Beverages,Juice,BrandB,54,3.55,0.0,0,191.7,191.7,410,0,5,S052,5.7,0.36
2023-03-15,2023,3,15,11,2,0,0,9.52,4.4,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0029,BrandE Chips,Snacks,Chips,BrandE,39,2.24,0.0,0,87.36,87.36,386,0,4,S019,5.53,0.452
2022-04-08,2022,4,8,14,4,0,0,12.85,5.67,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0045,BrandC Nuts,Snacks,Nuts,BrandC,34,13.42,0.0,0,456.28,456.28,170,0,7,S014,8.56,0.327
2023-09-28,2023,9,28,39,3,0,0,17.11,2.04,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0054,BrandF Yogurt,Dairy,Yogurt,BrandF,27,6.75,0.0,0,182.25,182.25,203,0,11,S008,1.32,0.472
2021-08-14,2021,8,14,32,5,1,0,11.19,5.13,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0032,BrandB Chocolate,Snacks,Chocolate,BrandB,33,12.6,0.0,0,415.8,415.8,418,0,15,S055,6.21,0.401
2021-12-04,2021,12,4,48,5,1,0,17.66,7.88,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0047,BrandE Nuts,Snacks,Nuts,BrandE,99,11.65,0.0,0,1153.35,1153.35,208,0,7,S027,2.36,0.309
2022-10-25,2022,10,25,43,1,0,0,13.04,0.38,STORE0009,Spain,Barcelona,E-commerce,41.36731,2.15708,SKU0065,BrandE Cheese,Dairy,Cheese,BrandE,29,1.1,0.0,0,31.9,31.9,292,0,5,S055,9.22,0.417
2022-10-01,2022,10,1,39,5,1,0,10.49,2.06,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0025,BrandA Chips,Snacks,Chips,BrandA,128,8.65,0.0,0,1107.2,1107.2,186,0,4,S015,1.95,0.51
2023-07-28,2023,7,28,30,4,0,0,10.24,1.28,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0033,BrandC Chocolate,Snacks,Chocolate,BrandC,26,4.93,0.0,0,128.18,128.18,254,0,6,S007,1.42,0.353
2023-12-06,2023,12,6,49,2,0,0,13.78,4.09,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0089,BrandE Shampoo,Personal Care,Shampoo,BrandE,67,10.67,0.0,0,714.89,714.89,313,0,3,S002,7.4,0.204
2022-12-25,2022,12,25,51,6,1,1,7.13,1.36,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0090,BrandF Shampoo,Personal Care,Shampoo,BrandF,94,14.11,0.0,0,1326.34,1326.34,247,0,10,S013,7.27,0.118
2023-03-12,2023,3,12,10,6,1,0,10.59,3.21,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0067,BrandA Detergent,Home Care,Detergent,BrandA,69,2.68,0.0,0,184.92,184.92,179,0,2,S035,5.55,0.439
2021-03-06,2021,3,6,9,5,1,0,16.16,4.95,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0070,BrandD Detergent,Home Care,Detergent,BrandD,35,6.09,0.0,0,213.15,213.15,450,0,12,S052,9.85,0.424
2021-05-07,2021,5,7,18,4,0,0,16.32,4.35,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0005,BrandE Soda,Beverages,Soda,BrandE,155,9.42,0.0,0,1460.1,1460.1,308,0,6,S047,4.15,0.47
2021-08-06,2021,8,6,31,4,0,0,8.27,3.43,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0060,BrandF Milk,Dairy,Milk,BrandF,110,13.5,0.3,1,1485.0,1039.5,282,0,4,S036,9.66,0.542
2023-09-29,2023,9,29,39,4,0,0,11.19,1.05,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0061,BrandA Cheese,Dairy,Cheese,BrandA,89,12.3,0.15,1,1094.7,930.5,310,0,3,S015,1.9,0.269
2022-09-18,2022,9,18,37,6,1,0,15.43,1.08,STORE0009,Spain,Barcelona,E-commerce,41.36731,2.15708,SKU0080,BrandB Cleaner,Home Care,Cleaner,BrandB,52,4.33,0.1,1,225.16,202.64,335,0,2,S055,0.65,0.259
2023-06-10,2023,6,10,23,5,1,0,15.83,7.11,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0088,BrandD Shampoo,Personal Care,Shampoo,BrandD,54,10.03,0.0,0,541.62,541.62,269,0,4,S006,2.14,0.414
